#Parameters = {FSS=70; FSSX=1; FSSY=-1; MT=0.018; T=0.13; epsilon=8.897084845; g=-10; gl=15; gw=26; hg=18; hgl=-3; hgnd1up=0; hgw=0.5; hgx1=15; hgy1=10; hsll=1.5; hslw=14.5; n=2; phanup=50; phanx=0; phany=0; pl=26; plusex=0; plusey=0; plusl=6.5; plusw=2.5; plusx=4; plusy=4; pw=23; r=17.35655495771; sl=24; sll=-10; sll1=-16; slot1side=0; slot1up=-1; slot2side=0; slot2up=-8; slw=0.5; slw1=0.5; stripl=19; stripw=1.5; stubl=2; stubw=0.5; stubx=-2.5; stw=0.5; stw1=0; sty=1; sw=30; tand=0.521143134; x=17}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
1.0000000000000	-3.6937510264785
1.0039999485016	-3.7557088857899
1.0080000162125	-3.8196806857296
1.0119999647141	-3.8857122295367
1.0160000324249	-3.9538691670087
1.0199999809265	-4.0242440326232
1.0240000486374	-4.0969523245570
1.0279999971390	-4.1721464514269
1.0319999456406	-4.2500012436179
1.0360000133514	-4.3307267759961
1.0399999618530	-4.4145543829182
1.0440000295639	-4.5017376145713
1.0479999780655	-4.5925404806686
1.0520000457764	-4.6872419265275
1.0559999942780	-4.7861200548939
1.0599999427795	-4.8894502388687
1.0640000104904	-4.9975029950814
1.0679999589920	-5.1105390159478
1.0720000267029	-5.2288092081522
1.0759999752045	-5.3525561967464
1.0800000429153	-5.4820180935342
1.0839999914169	-5.6174325374773
1.0880000591278	-5.7590458217278
1.0920000076294	-5.9071163067501
1.0959999561310	-6.0619276953548
1.1000000238419	-6.2237891023985
1.1039999723434	-6.3930496198963
1.1080000400543	-6.5700928519661
1.1119999885559	-6.7553391851420
1.1160000562668	-6.9492386655066
1.1200000047684	-7.1522601317927
1.1239999532700	-7.3648706764445
1.1280000209808	-7.5875020131457
1.1319999694824	-7.8205210599974
1.1360000371933	-8.0641624666061
1.1399999856949	-8.3184742084211
1.1440000534058	-8.5832188514150
1.1480000019073	-8.8577738258859
1.1519999504089	-9.1409878833128
1.1560000181198	-9.4310204397315
1.1599999666214	-9.7251531181927
1.1640000343323	-10.019568728227
1.1679999828339	-10.309138048527
1.1720000505447	-10.587227455406
1.1759999990463	-10.845606033172
1.1799999475479	-11.074527439673
1.1840000152588	-11.263088905487
1.1879999637604	-11.399964946585
1.1920000314713	-11.474518200127
1.1959999799728	-11.478156872754
1.2000000476837	-11.405661387563
1.2039999961853	-11.256101987876
1.2079999446869	-11.033035135132
1.2120000123978	-10.743932517674
1.2159999608994	-10.399019086228
1.2200000286102	-10.009899818494
1.2239999771118	-9.5882988168452
1.2280000448227	-9.1451565524682
1.2319999933243	-8.6900665697566
1.2359999418259	-8.2310907636754
1.2400000095367	-7.7747408862129
1.2439999580383	-7.3261332874633
1.2480000257492	-6.8891774813023
1.2519999742508	-6.4667691567138
1.2560000419617	-6.0609794245837
1.2599999904633	-5.6732206810906
1.2640000581741	-5.3043738916006
1.2680000066757	-4.9548934846605
1.2719999551773	-4.6249066001908
1.2760000228882	-4.3142752713074
1.2799999713898	-4.0226568299914
1.2840000391006	-3.7495519611264
1.2879999876022	-3.4943444565173
1.2920000553131	-3.2563310171886
1.2960000038147	-3.0347501071182
1.2999999523163	-2.8288049134786
1.3040000200272	-2.6376791776780
1.3079999685287	-2.4605541247076
1.3120000362396	-2.2966220641349
1.3159999847412	-2.1450908701432
1.3200000524521	-2.0051956230144
1.3240000009537	-1.8762008534163
1.3279999494553	-1.7574071192443
1.3320000171661	-1.6481499026389
1.3359999656677	-1.5478018050761
1.3400000333786	-1.4557737378811
1.3439999818802	-1.3715131128603
1.3480000495911	-1.2945012599552
1.3519999980927	-1.2242534886338
1.3559999465942	-1.1603200912494
1.3600000143051	-1.1022758487069
1.3639999628067	-1.0497272156724
1.3680000305176	-1.0023036761360
1.3719999790192	-0.95965881468712
1.3760000467300	-0.92146726541869
1.3799999952316	-0.88742610939594
1.3839999437332	-0.85724674882449
1.3880000114441	-0.83066013744162
1.3919999599457	-0.80741367774157
1.3960000276566	-0.78727083827017
1.3999999761581	-0.77000840295931
1.4040000438690	-0.75541960139590
1.4079999923706	-0.74331248298644
1.4119999408722	-0.73350895826706
1.4160000085831	-0.72584775630103
1.4199999570847	-0.72017972558162
1.4240000247955	-0.71637238844816
1.4279999732971	-0.71430624830514
1.4320000410080	-0.71387567407890
1.4359999895096	-0.71498878972212
1.4400000572205	-0.71756415348773
1.4440000057220	-0.72153345827737
1.4479999542236	-0.72683464269957
1.4520000219345	-0.73341494306461
1.4559999704361	-0.74122716130485
1.4600000381470	-0.75022762713258
1.4639999866486	-0.76037608233064
1.4680000543594	-0.77163415501940
1.4720000028610	-0.78395999686642
1.4759999513626	-0.79731471111500
1.4800000190735	-0.81165668270246
1.4839999675751	-0.82694055239651
1.4880000352859	-0.84312154273764
1.4919999837875	-0.86015389447863
1.4960000514984	-0.87799015308050
1.5000000000000	-0.89658681205546
1.5039999485016	-0.91589907556529
1.5080000162125	-0.93588768690297
1.5119999647141	-0.95651803528132
1.5160000324249	-0.97775823509234
1.5199999809265	-0.99958498558677
1.5240000486374	-1.0219800147772
1.5279999971390	-1.0449313478238
1.5319999456406	-1.0684301489465
1.5360000133514	-1.0924727034963
1.5399999618530	-1.1170573689123
1.5440000295639	-1.1421834463143
1.5479999780655	-1.1678476762982
1.5520000457764	-1.1940444641702
1.5559999942780	-1.2207631078098
1.5599999427795	-1.2479858705986
1.5640000104904	-1.2756901669786
1.5679999589920	-1.3038425463593
1.5720000267029	-1.3324012253206
1.5759999752045	-1.3613215109009
1.5800000429153	-1.3905457965561
1.5839999914169	-1.4200159319120
1.5880000591278	-1.4496694236054
1.5920000076294	-1.4794435303826
1.5959999561310	-1.5092739986610
1.6000000238419	-1.5391010651042
1.6039999723434	-1.5688696230175
1.6080000400543	-1.5985280036451
1.6119999885559	-1.6280329035688
1.6160000562668	-1.6573448501477
1.6200000047684	-1.6864313863892
1.6239999532700	-1.7152627966873
1.6280000209808	-1.7438136203562
1.6319999694824	-1.7720596579152
1.6360000371933	-1.7999744239640
1.6399999856949	-1.8275306133702
1.6440000534058	-1.8546972549983
1.6480000019073	-1.8814382177342
1.6519999504089	-1.9077138834830
1.6560000181198	-1.9334792452094
1.6599999666214	-1.9586872377155
1.6640000343323	-1.9832896223608
1.6679999828339	-2.0072382187464
1.6720000505447	-2.0304889611691
1.6759999990463	-2.0530048232680
1.6799999475479	-2.0747559792226
1.6840000152588	-2.0957263934954
1.6879999637604	-2.1159101239451
1.6920000314713	-2.1353162183296
1.6959999799728	-2.1539707632872
1.7000000476837	-2.1719077069840
1.7039999961853	-2.1891785533911
1.7079999446869	-2.2058413857302
1.7120000123978	-2.2219626423816
1.7159999608994	-2.2376131222574
1.7200000286102	-2.2528619726431
1.7239999771118	-2.2677820904152
1.7280000448227	-2.2824358463792
1.7319999933243	-2.2968829411289
1.7359999418259	-2.3111723323365
1.7400000095367	-2.3253462799123
1.7439999580383	-2.3394377995465
1.7480000257492	-2.3534728981049
1.7519999742508	-2.3674744991960
1.7560000419617	-2.3814569961079
1.7599999904633	-2.3954368692594
1.7640000581741	-2.4094323764919
1.7680000066757	-2.4234631688315
1.7719999551773	-2.4375563478196
1.7760000228882	-2.4517445456871
1.7799999713898	-2.4660685636010
1.7840000391006	-2.4805750383626
1.7879999876022	-2.4953186375898
1.7920000553131	-2.5103567590601
1.7960000038147	-2.5257507937928
1.7999999523163	-2.5415606508271
1.8040000200272	-2.5578455831285
1.8079999685287	-2.5746567157668
1.8120000362396	-2.5920404146298
1.8159999847412	-2.6100326595189
1.8200000524521	-2.6286573374614
1.8240000009537	-2.6479316423023
1.8279999494553	-2.6678567091018
1.8320000171661	-2.6884300898405
1.8359999656677	-2.7096369755542
1.8400000333786	-2.7314614818520
1.8439999818802	-2.7538852843851
1.8480000495911	-2.7768921175650
1.8519999980927	-2.8004673350958
1.8559999465942	-2.8246051776101
1.8600000143051	-2.8493076884754
1.8639999628067	-2.8745893837144
1.8680000305176	-2.9004708186187
1.8719999790192	-2.9269876329218
1.8760000467300	-2.9541798733696
1.8799999952316	-2.9820966304240
1.8839999437332	-3.0107873860986
1.8880000114441	-3.0403055543863
1.8919999599457	-3.0706995562169
1.8960000276566	-3.1020116230826
1.8999999761581	-3.1342765565435
1.9040000438690	-3.1675187038377
1.9079999923706	-3.2017501291031
1.9119999408722	-3.2369702646278
1.9160000085831	-3.2731703966668
1.9199999570847	-3.3103301696237
1.9240000247955	-3.3484219056791
1.9279999732971	-3.3874203407483
1.9320000410080	-3.4272910990744
1.9359999895096	-3.4680130559937
1.9400000572205	-3.5095672345363
1.9440000057220	-3.5519434262887
1.9479999542236	-3.5951494274494
1.9520000219345	-3.6391994977414
1.9559999704361	-3.6841243171254
1.9600000381470	-3.7299645557259
1.9639999866486	-3.7767685957948
1.9680000543594	-3.8245917474009
1.9720000028610	-3.8734887970787
1.9759999513626	-3.9235129136501
1.9800000190735	-3.9747085976165
1.9839999675751	-4.0271090816629
1.9880000352859	-4.0807329025363
1.9919999837875	-4.1355805639973
1.9960000514984	-4.1916390213112
2.0000000000000	-4.2488711217053
2.0039999485016	-4.3072297524182
2.0079998970032	-4.3666531683990
2.0120000839233	-4.4270694948425
2.0160000324249	-4.4884033443729
2.0199999809265	-4.5505804663828
2.0239999294281	-4.6135310009916
2.0280001163483	-4.6771945528915
2.0320000648499	-4.7415212775728
2.0360000133514	-4.8064745428283
2.0399999618530	-4.8720309084447
2.0439999103546	-4.9381785849116
2.0480000972748	-5.0049121326779
2.0520000457764	-5.0722310723702
2.0559999942780	-5.1401264307885
2.0599999427795	-5.2085864921289
2.0639998912811	-5.2775807898526
2.0680000782013	-5.3470558360255
2.0720000267029	-5.4169376702282
2.0759999752045	-5.4871194146364
2.0799999237061	-5.5574661501376
2.0840001106262	-5.6278170374486
2.0880000591278	-5.6979841476866
2.0920000076294	-5.7677635493980
2.0959999561310	-5.8369390742389
2.0999999046326	-5.9052908818183
2.1040000915527	-5.9726035963738
2.1080000400543	-6.0386772986808
2.1119999885559	-6.1033297593186
2.1159999370575	-6.1664079652044
2.1199998855591	-6.2277838696629
2.1240000724792	-6.2873611890862
2.1280000209808	-6.3450680997647
2.1319999694824	-6.4008589869806
2.1359999179840	-6.4546999312120
2.1400001049042	-6.5065695295326
2.1440000534058	-6.5564461574524
2.1480000019073	-6.6043023468804
2.1519999504089	-6.6501030035699
2.1559998989105	-6.6937958097770
2.1600000858307	-6.7353175308234
2.1640000343323	-6.7745896053405
2.1679999828339	-6.8115314321109
2.1719999313354	-6.8460595241038
2.1760001182556	-6.8781045083145
2.1800000667572	-6.9076174858366
2.1840000152588	-6.9345781917876
2.1879999637604	-6.9590105293621
2.1919999122620	-6.9809820239831
2.1960000991821	-7.0006124197025
2.2000000476837	-7.0180701998556
2.2039999961853	-7.0335749876662
2.2079999446869	-7.0473842551338
