#Parameters = {FSS=70; FSSX=1; FSSY=-1; MT=0.018; T=0.13; epsilon=8.939737856; g=-10; gl=15; gw=26; hg=18; hgl=-3; hgnd1up=0; hgw=0.5; hgx1=15; hgy1=10; hsll=1.5; hslw=14.5; n=2; phanup=50; phanx=0; phany=0; pl=26; plusex=0; plusey=0; plusl=6.5; plusw=2.5; plusx=4; plusy=4; pw=23; r=17.35655495771; sl=24; sll=-10; sll1=-16; slot1side=0; slot1up=-1; slot2side=0; slot2up=-8; slw=0.5; slw1=0.5; stripl=19; stripw=1.5; stubl=2; stubw=0.5; stubx=-2.5; stw=0.5; stw1=0; sty=1; sw=30; tand=0.52047199; x=17}
#"Frequency / GHz"	"S1,1 (3) [Magnitude]"
#----------------------------------------
1.0000000000000	-2.9731361250402
1.0039999485016	-2.9828009341489
1.0080000162125	-2.9939024598259
1.0119999647141	-3.0068124896843
1.0160000324249	-3.0219058234069
1.0199999809265	-3.0395616919082
1.0240000486374	-3.0601627847335
1.0279999971390	-3.0840978493058
1.0319999456406	-3.1117668959753
1.0360000133514	-3.1435744165280
1.0399999618530	-3.1799401368665
1.0440000295639	-3.2212986765940
1.0479999780655	-3.2680995656802
1.0520000457764	-3.3208160342893
1.0559999942780	-3.3799425495177
1.0599999427795	-3.4460046454603
1.0640000104904	-3.5195567746528
1.0679999589920	-3.6011946809377
1.0720000267029	-3.6915535813445
1.0759999752045	-3.7913156279808
1.0800000429153	-3.9012201721189
1.0839999914169	-4.0220609606092
1.0880000591278	-4.1547052817918
1.0920000076294	-4.3000931739637
1.0959999561310	-4.4592502453548
1.1000000238419	-4.6332964165795
1.1039999723434	-4.8234584738937
1.1080000400543	-5.0310801596029
1.1119999885559	-5.2576349495676
1.1160000562668	-5.5047467361209
1.1200000047684	-5.7741991863598
1.1239999532700	-6.0679550075286
1.1280000209808	-6.3881749190770
1.1319999694824	-6.7372364000888
1.1360000371933	-7.1177378327090
1.1399999856949	-7.5325131956028
1.1440000534058	-7.9846105388855
1.1480000019073	-8.4772521020466
1.1519999504089	-9.0137162913911
1.1560000181198	-9.5971252780862
1.1599999666214	-10.230001839922
1.1640000343323	-10.913483309557
1.1679999828339	-11.645874079909
1.1720000505447	-12.420147769227
1.1759999990463	-13.219795304005
1.1799999475479	-14.012696660233
1.1840000152588	-14.744055210435
1.1879999637604	-15.333460865445
1.1920000314713	-15.686828163195
1.1959999799728	-15.730833632353
1.2000000476837	-15.452932446535
1.2039999961853	-14.909251693737
1.2079999446869	-14.191517074506
1.2120000123978	-13.387144852350
1.2159999608994	-12.559714842318
1.2200000286102	-11.748237220180
1.2239999771118	-10.973673542651
1.2280000448227	-10.245636085171
1.2319999933243	-9.5672375724304
1.2359999418259	-8.9380325742991
1.2400000095367	-8.3558224397396
1.2439999580383	-7.8175858204490
1.2480000257492	-7.3200457703372
1.2519999742508	-6.8599280865382
1.2560000419617	-6.4341109644705
1.2599999904633	-6.0396922029126
1.2640000581741	-5.6740003113282
1.2680000066757	-5.3345968490568
1.2719999551773	-5.0192752620302
1.2760000228882	-4.7260309191303
1.2799999713898	-4.4530480812621
1.2840000391006	-4.1986884426333
1.2879999876022	-3.9614626495623
1.2920000553131	-3.7400248225682
1.2960000038147	-3.5331512802096
1.2999999523163	-3.3397338278081
1.3040000200272	-3.1587625798966
1.3079999685287	-2.9893180975113
1.3120000362396	-2.8305676014258
1.3159999847412	-2.6817455794176
1.3200000524521	-2.5421593954675
1.3240000009537	-2.4111711647346
1.3279999494553	-2.2882017604187
1.3320000171661	-2.1727210762834
1.3359999656677	-2.0642390837597
1.3400000333786	-1.9623131345627
1.3439999818802	-1.8665331581821
1.3480000495911	-1.7765247481995
1.3519999980927	-1.6919426665884
1.3559999465942	-1.6124708284930
1.3600000143051	-1.5378182388636
1.3639999628067	-1.4677169982890
1.3680000305176	-1.4019214861908
1.3719999790192	-1.3402035202494
1.3760000467300	-1.2823542260145
1.3799999952316	-1.2281813892339
1.3839999437332	-1.1775059597077
1.3880000114441	-1.1301637569814
1.3919999599457	-1.0860027906476
1.3960000276566	-1.0448812491004
1.3999999761581	-1.0066696074259
1.4040000438690	-0.97124778739573
1.4079999923706	-0.93850225051461
1.4119999408722	-0.90832988733211
1.4160000085831	-0.88063226291970
1.4199999570847	-0.85532093890358
1.4240000247955	-0.83230887119417
1.4279999732971	-0.81151877208093
1.4320000410080	-0.79287484031790
1.4359999895096	-0.77630680847628
1.4400000572205	-0.76174928418741
1.4440000057220	-0.74913767416605
1.4479999542236	-0.73841328829785
1.4520000219345	-0.72951792776473
1.4559999704361	-0.72239589270176
1.4600000381470	-0.71699303279804
1.4639999866486	-0.71325703281386
1.4680000543594	-0.71113720249216
1.4720000028610	-0.71058293278454
1.4759999513626	-0.71154399657406
1.4800000190735	-0.71397060894026
1.4839999675751	-0.71781408968609
1.4880000352859	-0.72302298527098
1.4919999837875	-0.72954894917668
1.4960000514984	-0.73733949912929
1.5000000000000	-0.74634531116065
1.5039999485016	-0.75651193012512
1.5080000162125	-0.76778851202908
1.5119999647141	-0.78011827440843
1.5160000324249	-0.79344808254100
1.5199999809265	-0.80772195040207
1.5240000486374	-0.82288212801191
1.5279999971390	-0.83887112041015
1.5319999456406	-0.85562977018242
1.5360000133514	-0.87310010682906
1.5399999618530	-0.89122218063017
1.5440000295639	-0.90993622114100
1.5479999780655	-0.92918049849342
1.5520000457764	-0.94889789794408
1.5559999942780	-0.96902702630111
1.5599999427795	-0.98951041657726
1.5640000104904	-1.0102911234758
1.5679999589920	-1.0313129939710
1.5720000267029	-1.0525212324874
1.5759999752045	-1.0738640514351
1.5800000429153	-1.0952919260794
1.5839999914169	-1.1167582815659
1.5880000591278	-1.1382181771469
1.5920000076294	-1.1596318415121
1.5959999561310	-1.1809611916659
1.6000000238419	-1.2021741585175
1.6039999723434	-1.2232406372675
1.6080000400543	-1.2441353877342
1.6119999885559	-1.2648380327538
1.6160000562668	-1.2853320273478
1.6200000047684	-1.3056054467694
1.6239999532700	-1.3256508137963
1.6280000209808	-1.3454653350507
1.6319999694824	-1.3650497420660
1.6360000371933	-1.3844100367302
1.6399999856949	-1.4035560134717
1.6440000534058	-1.4225012322832
1.6480000019073	-1.4412627508393
1.6519999504089	-1.4598628117319
1.6560000181198	-1.4783245576100
1.6599999666214	-1.4966755287530
1.6640000343323	-1.5149463540903
1.6679999828339	-1.5331693181477
1.6720000505447	-1.5513790158942
1.6759999990463	-1.5696130316254
1.6799999475479	-1.5879074648926
1.6840000152588	-1.6063042150970
1.6879999637604	-1.6248426768864
1.6920000314713	-1.6435634343066
1.6959999799728	-1.6625096601920
1.7000000476837	-1.6817210410031
1.7039999961853	-1.7012403065746
1.7079999446869	-1.7211089074914
1.7120000123978	-1.7413673517281
1.7159999608994	-1.7620539832000
1.7200000286102	-1.7832087882455
1.7239999771118	-1.8048698533589
1.7280000448227	-1.8270714050012
1.7319999933243	-1.8498490649543
1.7359999418259	-1.8732359721981
1.7400000095367	-1.8972621898168
1.7439999580383	-1.9219567427044
1.7480000257492	-1.9473464675301
1.7519999742508	-1.9734551036501
1.7560000419617	-2.0003070950148
1.7599999904633	-2.0279184438583
1.7640000581741	-2.0563084614610
1.7680000066757	-2.0854926973681
1.7719999551773	-2.1154814469759
1.7760000228882	-2.1462848432809
1.7799999713898	-2.1779087262761
1.7840000391006	-2.2103589056348
1.7879999876022	-2.2436352830643
1.7920000553131	-2.2777371838512
1.7960000038147	-2.3126619009261
1.7999999523163	-2.3484004494858
1.8040000200272	-2.3849463024596
1.8079999685287	-2.4222862201840
1.8120000362396	-2.4604071172737
1.8159999847412	-2.4992950621679
1.8200000524521	-2.5389297933364
1.8240000009537	-2.5792907911611
1.8279999494553	-2.6203579478257
1.8320000171661	-2.6621077542963
1.8359999656677	-2.7045146722031
1.8400000333786	-2.7475516625887
1.8439999818802	-2.7911940860118
1.8480000495911	-2.8354105667832
1.8519999980927	-2.8801736793477
1.8559999465942	-2.9254547014536
1.8600000143051	-2.9712242527005
1.8639999628067	-3.0174511310902
1.8680000305176	-3.0641081290756
1.8719999790192	-3.1111670325046
1.8760000467300	-3.1585990361418
1.8799999952316	-3.2063761935233
1.8839999437332	-3.2544758021592
1.8880000114441	-3.3028711950931
1.8919999599457	-3.3515406478574
1.8960000276566	-3.4004628845479
1.8999999761581	-3.4496192702035
1.9040000438690	-3.4989938005840
1.9079999923706	-3.5485697235378
1.9119999408722	-3.5983347291179
1.9160000085831	-3.6482791605116
1.9199999570847	-3.6983951434488
1.9240000247955	-3.7486771788830
1.9279999732971	-3.7991220294164
1.9320000410080	-3.8497280978032
1.9359999895096	-3.9004986024644
1.9400000572205	-3.9514346306011
1.9440000057220	-4.0025436376896
1.9479999542236	-4.0538311645703
1.9520000219345	-4.1053076595311
