#Parameters = {FSS=70; FSSX=1; FSSY=-1; MT=0.018; T=0.13; epsilon=9.320660196; g=-10; gl=15; gw=26; hg=18; hgl=-3; hgnd1up=0; hgw=0.5; hgx1=15; hgy1=10; hsll=1.5; hslw=14.5; n=2; phanup=50; phanx=0; phany=0; pl=26; plusex=0; plusey=0; plusl=6.5; plusw=2.5; plusx=4; plusy=4; pw=23; r=17.35655495771; sl=24; sll=-10; sll1=-16; slot1side=0; slot1up=-1; slot2side=0; slot2up=-8; slw=0.5; slw1=0.5; stripl=19; stripw=1.5; stubl=2; stubw=0.5; stubx=-2.5; stw=0.5; stw1=0; sty=1; sw=30; tand=0.51197045; x=17}
#"Frequency / GHz"	"S1,1 (42) [Magnitude]"
#-----------------------------------------
1.0000000000000	-2.9729760643061
1.0039999485016	-2.9825583862602
1.0080000162125	-2.9935779841944
1.0119999647141	-3.0064084294481
1.0160000324249	-3.0214230991454
1.0199999809265	-3.0390035794921
1.0240000486374	-3.0595304260810
1.0279999971390	-3.0833965528028
1.0319999456406	-3.1109971560114
1.0360000133514	-3.1427414241161
1.0399999618530	-3.1790477342527
1.0440000295639	-3.2203501674765
1.0479999780655	-3.2670988491698
1.0520000457764	-3.3197675192394
1.0559999942780	-3.3788520601149
1.0599999427795	-3.4448761578656
1.0640000104904	-3.5183980109922
1.0679999589920	-3.6000112357685
1.0720000267029	-3.6903513978067
1.0759999752045	-3.7901027682929
1.0800000429153	-3.9000036472518
1.0839999914169	-4.0208523530465
1.0880000591278	-4.1535130945469
1.0920000076294	-4.2989306003691
1.0959999561310	-4.4581289631703
1.1000000238419	-4.6322317586925
1.1039999723434	-4.8224669893235
1.1080000400543	-5.0301809749221
1.1119999885559	-5.2568516955618
1.1160000562668	-5.5041032947133
1.1200000047684	-5.7737249093770
1.1239999532700	-6.0676845063162
1.1280000209808	-6.3881494678607
1.1319999694824	-6.7375004515661
1.1360000371933	-7.1183485594519
1.1399999856949	-7.5335343586717
1.1440000534058	-7.9861204403291
1.1480000019073	-8.4793417354121
1.1519999504089	-9.0164996985907
1.1560000181198	-9.6007325578867
1.1599999666214	-10.234593116759
1.1640000343323	-10.919239454957
1.1679999828339	-11.653001595610
1.1720000505447	-12.428851890618
1.1759999990463	-13.230237798394
1.1799999475479	-14.024897698256
1.1840000152588	-14.757714413253
1.1879999637604	-15.347770664580
1.1920000314713	-15.700430281345
1.1959999799728	-15.742169302429
1.2000000476837	-15.460906534829
1.2039999961853	-14.913611484900
1.2079999446869	-14.192702556894
1.2120000123978	-13.385871149077
1.2159999608994	-12.556678828387
1.2200000286102	-11.744001202081
1.2239999771118	-10.968646116267
1.2280000448227	-10.240122830552
1.2319999933243	-9.5614332589254
1.2359999418259	-8.9320850976857
1.2400000095367	-8.3498224185907
1.2439999580383	-7.8116038676719
1.2480000257492	-7.3141281768365
1.2519999742508	-6.8541061755490
1.2560000419617	-6.4284078146797
1.2599999904633	-6.0341221559793
1.2640000581741	-5.6685708612930
1.2680000066757	-5.3293155762912
1.2719999551773	-5.0141414634386
1.2760000228882	-4.7210464728937
1.2799999713898	-4.4482137766534
1.2840000391006	-4.1939985943728
1.2879999876022	-3.9569164823950
1.2920000553131	-3.7356180413346
1.2960000038147	-3.5288809217270
1.2999999523163	-3.3355938358094
1.3040000200272	-3.1547497796673
1.3079999685287	-2.9854291948419
1.3120000362396	-2.8267956364999
1.3159999847412	-2.6780886801285
1.3200000524521	-2.5386124409438
1.3240000009537	-2.4077306484089
1.3279999494553	-2.2848638186789
1.3320000171661	-2.1694797998399
1.3359999656677	-2.0610942754196
1.3400000333786	-1.9592585947114
1.3439999818802	-1.8635666379219
1.3480000495911	-1.7736437695391
1.3519999980927	-1.6891431713895
1.3559999465942	-1.6097511201895
1.3600000143051	-1.5351753042769
1.3639999628067	-1.4651493999739
1.3680000305176	-1.3994252613253
1.3719999790192	-1.3377781781065
1.3760000467300	-1.2799974148085
1.3799999952316	-1.2258908569294
1.3839999437332	-1.1752806745959
1.3880000114441	-1.1280018786591
1.3919999599457	-1.0839032399858
1.3960000276566	-1.0428437168159
1.3999999761581	-1.0046928468254
1.4040000438690	-0.96933016342599
1.4079999923706	-0.93664400452993
1.4119999408722	-0.90652968460761
1.4160000085831	-0.87889068135007
1.4199999570847	-0.85363685972635
1.4240000247955	-0.83068255617069
1.4279999732971	-0.80994951122666
1.4320000410080	-0.79136355583007
1.4359999895096	-0.77485359139673
1.4400000572205	-0.76035487008408
1.4440000057220	-0.74780219245851
1.4479999542236	-0.73713674507676
1.4520000219345	-0.72830130325822
1.4559999704361	-0.72123959210401
1.4600000381470	-0.71589796715424
1.4639999866486	-0.71222449578210
1.4680000543594	-0.71016773129897
1.4720000028610	-0.70967728236682
1.4759999513626	-0.71070327097795
1.4800000190735	-0.71319628598987
1.4839999675751	-0.71710738646339
1.4880000352859	-0.72238560447152
1.4919999837875	-0.72898085172351
1.4960000514984	-0.73684403918636
1.5000000000000	-0.74592160101062
1.5039999485016	-0.75616226154556
1.5080000162125	-0.76751220556093
1.5119999647141	-0.77991899122545
1.5160000324249	-0.79332642284217
1.5199999809265	-0.80767844377152
1.5240000486374	-0.82291741298166
1.5279999971390	-0.83898719144849
1.5319999456406	-0.85582747120104
1.5360000133514	-0.87338084985757
1.5399999618530	-0.89158513165073
1.5440000295639	-0.91038216490771
1.5479999780655	-0.92971088299405
1.5520000457764	-0.94951212333489
1.5559999942780	-0.96972700755235
1.5599999427795	-0.99029550430148
1.5640000104904	-1.0111607615257
1.5679999589920	-1.0322671410657
1.5720000267029	-1.0535596435904
1.5759999752045	-1.0749874760437
1.5800000429153	-1.0964993071766
1.5839999914169	-1.1180483616187
1.5880000591278	-1.1395905103403
1.5920000076294	-1.1610848657997
1.5959999561310	-1.1824951913184
1.6000000238419	-1.2037864643501
1.6039999723434	-1.2249304415112
1.6080000400543	-1.2459020796258
1.6119999885559	-1.2666797235713
1.6160000562668	-1.2872476971647
1.6200000047684	-1.3075941115874
1.6239999532700	-1.3277103187835
1.6280000209808	-1.3475936766401
1.6319999694824	-1.3672463214957
1.6360000371933	-1.3866731369336
1.6399999856949	-1.4058843224675
1.6440000534058	-1.4248934419654
1.6480000019073	-1.4437183943267
1.6519999504089	-1.4623790001527
1.6560000181198	-1.4809010484411
1.6599999666214	-1.4993114100761
1.6640000343323	-1.5176400351153
1.6679999828339	-1.5359200105121
1.6720000505447	-1.5541867978878
1.6759999990463	-1.5724757728002
1.6799999475479	-1.5908255317845
1.6840000152588	-1.6092771115046
1.6879999637604	-1.6278690414413
1.6920000314713	-1.6466444887586
1.6959999799728	-1.6656435611876
1.7000000476837	-1.6849094586383
1.7039999961853	-1.7044823397228
1.7079999446869	-1.7244042277263
1.7120000123978	-1.7447159140071
1.7159999608994	-1.7654569416923
1.7200000286102	-1.7866663411179
1.7239999771118	-1.8083826431367
1.7280000448227	-1.8306396333327
1.7319999933243	-1.8534733088757
1.7359999418259	-1.8769157678158
1.7400000095367	-1.9009992778273
1.7439999580383	-1.9257500851539
1.7480000257492	-1.9511977429444
1.7519999742508	-1.9773658601663
1.7560000419617	-2.0042751463752
1.7599999904633	-2.0319460269001
1.7640000581741	-2.0603962304909
1.7680000066757	-2.0896393552852
1.7719999551773	-2.1196884815899
1.7760000228882	-2.1505517877670
1.7799999713898	-2.1822364640110
1.7840000391006	-2.2147459483365
1.7879999876022	-2.2480830036962
1.7920000553131	-2.2822439710870
1.7960000038147	-2.3172261995268
1.7999999523163	-2.3530233143944
1.8040000200272	-2.3896253349476
1.8079999685287	-2.4270213680362
1.8120000362396	-2.4651975179692
1.8159999847412	-2.5041373139941
1.8200000524521	-2.5438228740363
1.8240000009537	-2.5842342076494
1.8279999494553	-2.6253480939873
1.8320000171661	-2.6671411055544
1.8359999656677	-2.7095894207141
1.8400000333786	-2.7526641871203
1.8439999818802	-2.7963402445206
1.8480000495911	-2.8405883595527
1.8519999980927	-2.8853784483234
1.8559999465942	-2.9306821865099
1.8600000143051	-2.9764691302164
1.8639999628067	-3.0227104208659
1.8680000305176	-3.0693764815858
