iter	Logloss
0	0.6820667478
1	0.6669205915
2	0.6541342826
3	0.6417763559
4	0.6322698086
5	0.6198438002
6	0.6081896965
7	0.6015488158
8	0.590715369
9	0.5834008277
10	0.5736568645
11	0.5663091562
12	0.5596483344
13	0.5501229842
14	0.5440071596
15	0.536302045
16	0.5295738584
17	0.5257748571
18	0.5216093155
19	0.5144303432
20	0.5098731202
21	0.504839132
22	0.500037827
23	0.4961024214
24	0.4909939013
25	0.4866168484
26	0.4812691681
27	0.4759668797
28	0.4710944623
29	0.4669143277
30	0.4622917665
31	0.4578116468
32	0.4527093432
33	0.447487903
34	0.4448925054
35	0.4416155565
36	0.4381573067
37	0.4351024243
38	0.4319785506
39	0.4300684501
40	0.4271815351
41	0.4235370318
42	0.421241057
43	0.4181659003
44	0.415285205
45	0.4128610473
46	0.4108688096
47	0.4095558777
48	0.4082855327
49	0.4058540507
50	0.4035327097
51	0.4013628939
52	0.398965708
53	0.3969368328
54	0.3950796161
555	0.3829236821
56	0.3822674665
57	0.379601624358	0.387464623
59	0.3857670149
60	0.384213796
61	0.3823210567
62	0.3796876668
63	0.3784295237
64	0.3770326609
65	0.3759860832
66	0.3736217803
67	0.3719438476
68	0.3700373626
69	0.3683764231
70	70	0.3586676671	71	0.3572602172	72	0.3555945627
73	0.3544014464
74	0.3526431774
75	0.3510604976	76	0.3499376877	77	0.3482524719
78	0.3461685294
79	0.345052080	080	0.343975181	081	0.342685782	082	0.341372783	083	0.340244984	084	0.3381846984
85	0.3368141098
86	0.3362248539
87	0.3350362276
88	0.3341168145
89	0.3329697414
90	0.3313167003
91	0.3304791192
92	0.3294305268
93	0.3276926231
94	0.3267381617
95	0.325674946
96	0.3244853632
97	0.3234411848
98	0.3222368331
99	0.3215854975
100	0.3207216737
101	0.3200382102	102	0.3189191989
103	0.3176104997
104	0.3164787664
105	0.3155989106	106	0.3146423107	107	0.3135377108	108	0.3121613109	109	0.3112357110	110	0.3105723111	111	0.3098868112	112	0.3087964113	113	0.3076258114	114	0.3070411016
115	0.3057279535
116	0.3047145665
117	0.303752534
118	0.3026617228
119	0.3011937615
120	0.2997737448
121	0.2985121466
122	0.2976025224
123	0.2967050502
124	0.2958347985
125	0.2942975369
126	0.2936336106
127	0.2927189589
128	0.2920788527
129	0.290728417
130	0.2888255796
131	0.2874132	0.2132	0.2865133	133	0.292892789
134	0.2920559094
135	0.2912492486
136	0.2889969974
137	0.2874772929
138	0.2862927467
139	0.2849902782
140	0.2838128054
141	0.2831918839
142	0.2827323711
143	0.2814279492
144	0.2808070657
145145	0.2758972056
146	0.2752869351
147	0.2746214276
148	0.2738998727
149	0.2723179613
150	0.2718315053
151	0.2709923746
152	0.2701306697
153	0.2686696902
154	0.2674874043
155	0.2666152174
156	0.2656204358
157	0.264605895
158	0.2635199993
159	0.2629868042
160	0.2621750644
161	0.2607927643
162	0.2603243796
163	0.2596771154
164	0.2589779138
165	0.2586846491
166	0.2578685932
167	0.2564608429
168	0.2551942973
169	0.2536723265
170	0.2528610853
171	0.2513472656
172	0.2506480188
173	0.2494324972
174	0.2485050725
175	0.2482089029
176	0.2476924328
177	0.2470790102
178	0.2460995414
179	0.2455464234
180	0.244387628
181	0.2437584643
182	0.2433448342
183	0.2424869338
184	0.2413153025
185	0.2411389198
186	0.2402255573
187	0.2390304258
188	0.2384013918
189	0.2374533873
190	0.2366658709
191	0.2362503407
192	0.2354900475
193	0.2349171724
194	0.234443968
195	0.2336317198
196	0.2325912648
197	0.2319384891
198	0.2312281638
199	0.2308174452
200	0.2299457266
201	0.2292573595
202	0.2286225904
203	0.2280946657
204	0.2277033928
205	0.2268413061
206	0.2263076386
207	0.2257048926
208	0.2250029072
209	0.2247294159
210	0.2242356157
211	0.2235458371
212	0.2232658647
213	0.2228687684
214	0.2222812755
215	0.2217648705
216	0.2205563985
217	0.2198117337
218	0.2191740709
219	0.218532657
220	0.2176861158
221	0.2168550503
222	0.2159203165
223	0.2149753997
224	0.2141175218
225	0.2136418574
226	0.2131105558
227	0.2125672439
228	0.2112525486
229	0.210742279
230	0.209529453
231	0.2083470745
232	0.2076363036
233	0.2071376699
234	0.2067225538
235	0.2064422307
236	0.2053543788
237	0.2050541592
238	0.2047794049
239	0.2034204355
240	0.2022363357
241	0.2015460649
242	0.2011931208
243	0.2006434456
244	0.2000829493
245	0.199401694
246	0.1988483306
247	0.1977743396
248	0.19726539
249	0.1964438214
250	0.1961954805
251	0.1955396439
252	0.1952505186
253	0.1946555805
254	0.1937411604
255	0.1933867562
256	0.1925192831
257	0.1920412018
258	0.191516376
259	0.1906937436
260	0.1905627169
261	0.1902160999
262	0.1896828901
263	0.1892987426
264	0.1883919032
265	0.1877670351
266	0.187314032
267	0.186693991
268	0.1856879862
269	0.1851593184
270	0.1838511335
271	0.1833432764
272	0.1826307269
273	0.1825551516
274	0.1821089183
275	0.1807666429
276	0.1801380509
277	0.1794539225
278	0.1788994898
279	0.178413388
280	0.1779337618
281	0.1775899651
282	0.177001274
283	0.1768371134
284	0.1761001277
285	0.1754465898
286	0.1749268446
287	0.1743148174
288	0.1741104444
289	0.1733989486
290	0.1724372328
291	0.1718559814
292	0.1714842897
293	0.1709469816
294	0.1706254247
295	0.1696576046
296	0.1690728037
297	0.1686069503
298	0.1676821862
299	0.1671842623
300	0.1665571931
301	0.165772647
302	0.1651814788
303	0.1645267689
304	0.1635735224
305	0.1634642243
306	0.1631644668
307	0.162796007
308	0.1618631211
309	0.1613692276
310	0.1606743167
311	0.1605179236
312	0.1600466195
313	0.1596288328
314	0.1589037056
315	0.1587899978
316	0.1582167428
317	0.1574377873
318	0.1572607626
319	0.1567113524
320	0.1557522449
321	0.1555329772
322	0.155323	0.1403712711
324	0.1397493904
325	0.1390362247
326	0.1382858593
327	0.1374126798
328	0.1367270389
329	0.1363163758
330	0.1358819028
331	0.1353810965
332	0.1348592374
333	0.134277314
334	0.1336550477
335	0.1329373129
336	0.1328386606
337	0.1326612196
338	0.1324306011
339	0.1321050122
340	0.1317502231
341	0.1316670575
342	0.1313413536
343	0.1306885303
344	0.1298406577
345	0.1291717173
346	0.1283205466
347	0.1275800049
348	0.1272289517
349	0.1267445643
350	0.1264880848
351	0.125965995
352	0.1254625643
353	0.1250929408
354	0.1246331046
355	0.1244779172
356	0.1240933409
357	0.1234378259
358	0.1231364065
359	0.1227754301
360	0.1224168025
361	0.1219667013
362	0.1213122297
363	0.1208025135
364	0.1203769118
365	0.119973006
366	0.1193958617
367	0.1189597509
368	0.1184676913
369	0.1182226371
370	0.1178830948
371	0.1173296656
372	0.116688579
373	0.1164619313
374	0.1161502972
375	0.1157733789
376	0.1155839836
377	0.1150145055
378	0.1145612911
379	0.1139241145
380	0.113315282
381	0.1130116737
382	0.1126016339
383	0.1124944979
384	0.1122871308
385	0.1120393599
386	0.1115691232
387	0.1113540381
388	0.1108367416
389	0.1105514076
390	0.1098968644
391	0.1096424158
392	0.1093745519
393	0.1089491015
394	0.1088253966
395	0.1084307225
396	0.1080029999
397	0.107270963
398	0.1071035402
399	0.1065408325
400	0.1064131891
401	0.1061522297
402	0.105659637
403	0.1051688159
404	0.1049162939
405	0.10462849
406	0.1045250429
407	0.1039120335
408	0.1035354824
409	0.1030706339
410	0.1024275325
411	0.1018791834
412	0.101382329
413	0.1009291834
414	0.1005582648
415	0.1001954616
416	0.09973768462
417	0.09946566984
418	0.09892546644
419	0.09840488235
420	0.09817553372
421	0.09799311532
422	0.09762572475
423	0.09735892485
424	0.09708072949
425	0.09647883525
426	0.09605071748
427	0.09546680304
428	0.09514508778
429	0.09489722716
430	0.09451438613
431	0.09438664923
432	0.09411013974
433	0.09383875877
434	0.09346094618
435	0.09338702476
436	0.09327546184
437	0.0930404913
438	0.09267130233
439	0.09235026275
440	0.09180897579
441	0.09172386537
442	0.09153257045
443	0.09150069153
444	0.09090475528
445	0.09046644128
446	0.0901236843
447	0.08979814227
448	0.08944831442
449	0.08896340543
450	0.08861521958
451	0.08841286576
452	0.08811177126
453	0.08790595469
454	0.08779582397
455	0.0875171532
456	0.0872436038
457	0.08668824397
458	0.08625413899
459	0.08571900411
460	0.08547712399
461	0.08524102597
462	0.085157937
463	0.08498582195
464	0.08467429712
465	0.08453706076
466	0.08421158858
467	0.0839492459
468	0.08365467957
469	0.08330624286
470	0.08280465645
471	0.08270633673
472	0.08239150262
473	0.08206573776
474	0.08162534031
475	0.08128297688
476	0.08100333456
477	0.08087974523
478	0.0803640558
479	0.08008262013
480	0.07961835438
481	0.07943330805
482	0.07893980642
483	0.07884248044
484	0.07839781423
485	0.07813501547
486	0.07799002598
487	0.07774090618
488	0.07752363429
489	0.07733443847
490	0.07705967207
491	0.07697182201
492	0.07671708472
493	0.07656847529
494	0.07612549264
495	0.07574447744
496	0.07563012891
497	0.07545102037
498	0.07509943071
499	0.07494735103
500	0.07482096513
501	0.07471041689
502	0.07451739717
503	0.07434161339
504	0.07410894591
505	0.07395669917
506	0.07360231474
507	0.07338510265
508	0.07304817881
509	0.07276846201
510	0.07245860995
511	0.07230019073
512	0.07211142982
513	0.07184316455
514	0.0717167089
515	0.07148573688
516	0.07108591421
517	0.07102743085
518	0.07087787016
519	0.07067032388
520	0.07044303776
521	0.0702060424
522	0.07007829537
523	0.06995610373
524	0.06990054095
525	0.06975101068
526	0.06952560425
527	0.06937655013
528	0.06900755294
529	0.06877004974
530	0.06845231482
531	0.06837915391
532	0.06813236237
533	0.06799302461
534	0.06777234097
535	0.0676913721
536	0.06755695518
537	0.06733890516
538	0.0672303721
539	0.06717659131
540	0.06709914033
541	0.06702269864
542	0.06694987683
543	0.06689201023
544	0.06668086687
545	0.06650744053
546	0.06642567061
547	0.06630988853
548	0.0662748373
549	0.06613177735
550	0.06603691152
551	0.06580311774
552	0.06569814809
553	0.06548146387
554	0.06515922004
555	0.06504040384
556	0.0648161008
557	0.06467010426
558	0.06443875931
559	0.06410037129
560	0.06391549001
561	0.06374096076
562	0.06357554276
563	0.06338399711
564	0.06315098904
565	0.0627679474
566	0.06260813558
567	0.06256708824
568	0.06236054963
569	0.06207539379
570	0.06179593009
571	0.06147086635
572	0.06128072268
573	0.06111630934
574	0.06095169911
575	0.060635071
576	0.06046965229
577	0.06026162117
578	0.05995612305
579	0.05967984053
580	0.05959560596
581	0.05935502538
582	0.05914098328
583	0.05892025299
584	0.05876802381
585	0.05858801086
586	0.05843980239
587	0.05831176419
588	0.05819684138
589	0.05810248376
590	0.05789406336
591	0.05783523194
592	0.05778272307
593	0.05755904318
594	0.05735946221
595	0.05718848584
596	0.05699847073
597	0.05678611728
598	0.05658355778
599	0.05641052854
600	0.05608495201
601	0.05601345018
602	0.05587090543
603	0.05567335865
604	0.05551246987
605	0.05524963243
606	0.05507167116
607	0.05498578599
608	0.05495371529
609	0.05480326874
610	0.05476558786
611	0.05465390962
612	0.05440665087
613	0.05435457829
614	0.05422249787
615	0.0541813778
616	0618	0.0590973617	619	0.05886000618	0.05368518113
619	621	0.05852650620	622	0.05833035621	623	0.05818948622	624	0.05793778623	625	0.05782955624	626	0.05777165625	627	0.05754370626	628	0.05735692627	629	0.05708723628	0.0521913241
629	0.05210007436
630	0632	0.0566298631	0633	0.0564560632	0634	0.0562667633	0635	0.0561777634	0636	0.05603890586
637	0.0559813636	0638	0.0558970637	0639	0.0558095638	0.05124798414
639	0.05114670275
640	0.05109562195
641	0.05097063739
642	0.05092266701
643	0.05089257093
644	0646	0.0550806645	0.05078527278
646	0.05067887971
647	0.05050724472
648	0.05041577683
649	651	0.05454181650	652	0.05438326651	0.05016091948
652	654	0.05410510653	655	0.05386727654	656	0.05384911655	0.04974314504
656	658	0.05364728657	659	0.05356868579
660	0.05341712659	661	0.05328959660662	0.053220470661663	0.053012981662664	0.05290137466665	0.052752144566666	0.052632482566667	0.052506493566668	0.05239385588
669	0.05219952868
670	0.05216994513
671	0.05203259136
672	0.0519384496
673	0.05184236569
674	0.05166166553
675	0.05158041524
676	0.05148335052
677	0.0514140246678	0.05127481312677	0.04693629531
678	0.04680148651
679	0.046668453
680	0.04655523412
681	0.04647527097
682	0.0463938911
683	0.04622139053
684	0.04613828492
685	0.04607162884
686	0.04592509712
687	0.04587559859
688	0.04575025229
689	0.04555793629
690	692	0.0495202691	0693	0.0493229692	0694	0.04914576985
695	0.04905463066
696	0.04892995975
697	0.04885062714
698	0.04874603384
699	0.04873575829
700	0.04868217477
701	0.0485452943
702	0.04839507563
703	0.04834551881
704	0.04827842476
705	0.04817783148
706	0.04802382511
707	0.04787298062
708	0.04782229433
709	0.04774647358
710	0.0475864709	0.04313330172
710	0.04306428869
711	0.04293715432
712	0.04285707476
713	0.04278276744
714	0.04264330745
715	0.04261205905
716	0.04252526896
717	0.04243356059
718	0.04238548148
719	0.04227656619
720	0.04216986918
721	0.04207886445
722	0.04192208442
723	0.04181672893
724	0.04175658481
725	0.04170260449
726	0.04165473428
727	0.04155368443
728	0.04139312028
729	0.04135721353
730	0.04130826327
731	0.0412433864
732	0.04110943924
733	0.04098155336
734	0.04086423838
735	0.04074965934
736	0.0406770703
737	0.04064054408
738	0.04056071963
739	0.04045512797
740	0.04040160391
741	0.04030890009
742	0.04020578786
743	0.04000391737
744	0.03995077931
745	0.03989145083
746	0.03974987658
747	0.03968801313
748	0.03963057319
749	0.03961734093
750	0.03956126613
751	0.03943303451
752	0.03935892582
753	0.03930031364
754	0.03917392566
755	0.03914054089
756	0.03906733261
757	0.03905974896
758	0.03901937128
759	0.03894207973
760	0.03887177794
761	0.03883249207
762	0.03874835071
763	0.03857255151
764	0.0384982098
765	0.03848225459
766	0.03838887365
767	0.03830529481
768	0.03819359987
769	0.03806760631
770	0.03793867765
771	0.037860708
772	0.03776223935
773	0.03759728271
774	0.0375465301
775	0.03747390907
776	0.03746681669
777	0.03738861774
778	0.03725421773
779	0.0371467209
780	0.03702599258
781	0.03693819973
782	0.0368403731
783	0.03677408239
784	0.03668048877
785	0.03661462431
786	0.03650907489
787	0.03644713297
788	0.03637652306
789	0.03631564516
790	0.03619193676
791	0.03607227741
792	0.03601133166
793	0.03594741772
794	0.03591785803
795	0.03586756602
796	0.03577051235
797	0.03571500845
798	0.03566824978
799	0.03557955113
800	0.03552322762
801	0.03544819177
802	0.03539914475
803	0.03532738722
804	0.03530873208
805	0.03526815177
806	0.03521160163
807	0.03515991291
808	0.03514323668
809	0.03511587029
810	0.03507346971
811	0.03503266853
812	0.03497412257
813	0.03485878043
814	0.03480980384
815	0.03476932901
816	0.03463769067
817	0.03450731461
818	0.03438335632
819	0.03427764995
820	0.03418954592
821	0.03412877324
822	0.03411296058
823	0.03409617508
824	0.03398832858
825	0.03396037886
826	0.03384871587
827	0.03383350614
828	0.03373274901
829	0.03362387882
830	0.03352278946
831	0.03351206719
832	0.03348452473
833	0.03345926282
834	0.03342395125
835	0.03337529473
836	0.03330753867
837	0.03329152361
838	0.0332170343
839	0.0331792775
840	0.03313848614
841	0.03301670329
842	0.03299152952
843	0.03293940206
844	0.03290374601
845	0.03286496014
846	0.03283243987
847	0.03278535912
848	0.03273621475
849	0.03268903617
850	0.03258285722
851	0.03255271583
852	0.03247251071
853	0.03242481834
854	0.03235707372
855	0.03224474943
856	0.03219003988
857	0.03210682933
858	0.03204677653
859	0.03202272083
860	0.03194285009
861	0.03191528658
862	0.03185603361
863	0.03184765505
864	0.03177112791
865	0.03168368036
866	0.03161624772
867	0.03158028032
868	0.03151817917
869	0.03141453002
870	0.0314030238
871	0.03134334432
872	0.03131779519
873	0.03131217891
874	0.03120694821
875	0.03113523859
876	0.0310448366
877	0.0309421785
878	0.03091732075
879	0.03089411391
880	0.03085348856
881	0.0307785038
882	0.03074848418
883	0.03067967663
884	0.03064364896
885	0.03063101592
886	0.03060543993
887	0.03055410883
888	0.03052594776
889	0.03042086001
890	0.03033911175
891	0.03026122433
892	0.03021920289
893	0.03014034681
894	0.03006312185
895	0.03000961994
896	0.02998565553
897	0.02993237165
898	0.0298580518
899	0.02981873757
900	0.02973054049
901	0.02966803963
