,BGL,FREQ,S11,S11_Scaled,S11_Derivative,S11_Mean,S11_Std,S11_Min,S11_Max
13,100,0.209999993,-7.498286256,0.840165378584494,-0.3156167333333573,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10016,100,0.2174999935,-7.4992221125,0.8401433124673022,-0.22019879266004833,,,,
14,100,0.224999994,-7.500157969,0.8401212463501104,-0.12478085834793508,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10017,100,0.2324999945,-7.499359950500001,0.8401400624503803,-0.00918919938742379,,,,
15,100,0.239999995,-7.498561932,0.8401588785506502,0.10640245957314691,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10018,100,0.24749999499999997,-7.4957285805,0.8402256848037934,0.24209132526367627,,,,
16,100,0.254999995,-7.492895229,0.8402924910569365,0.37778020000001117,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10019,100,0.262500003,-7.4877290915,0.8404143009663662,0.5332989822405072,,,,
17,100,0.270000011,-7.482562954,0.8405361108757958,0.6888175985945985,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10020,100,0.2775000035,-7.474776693,0.8407196994363414,0.8634932045502536,,,,
18,100,0.284999996,-7.466990432,0.840903287996887,1.038169171502463,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10021,100,0.292500004,-7.456313645,0.8411550309010334,1.2308698256376787,,,,
19,100,0.300000012,-7.445636858,0.8414067738051797,1.4235700815252412,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10022,100,0.30750000499999997,-7.4318204485,0.8417325443813283,1.6328796578080194,,,,
20,100,0.314999998,-7.418004039,0.8420583149574769,1.8421896527103345,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10023,100,0.3225000055,-7.400828883000001,0.8424632798266465,2.066104297796452,,,,
21,100,0.330000013,-7.383653727,0.8428682446958161,2.2900185099814894,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10024,100,0.33750000599999996,-7.3629344195,0.843356775434694,2.5262974824568065,,,,
22,100,0.344999999,-7.342215112,0.843845306173572,2.762576911738485,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10025,100,0.3525000065,-7.317803175,0.8444209036746009,3.00874953304169,,,,
23,100,0.360000014,-7.293391238,0.8449965011756299,3.2549216784116592,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10026,100,0.36750000699999996,-7.2651806215,0.8456616659415346,3.508170116394343,,,,
24,100,0.375,-7.236970005,0.8463268307074393,3.7614190439911037,-6.349324396611999,5.586062025228471,-17.52089902,-0.719464768
10027,100,0.38249999300000004,-7.2048985625,0.8470830280611108,4.018807684220452,,,,
