0,-7.395331396
0.015,-7.396269724
0.029999999,-7.399058046
0.045000002,-7.403618559
0.059999999,-7.409824626
0.075000003,-7.417493539
0.090000004,-7.42639478
0.104999997,-7.436247672
0.119999997,-7.446719155
0.135000005,-7.457431854
0.150000006,-7.467958809
0.165000007,-7.477831694
0.180000007,-7.486543615
0.194999993,-7.493552005
0.209999993,-7.498286256
0.224999994,-7.500157969
0.239999995,-7.498561932
0.254999995,-7.492895229
0.270000011,-7.482562954
0.284999996,-7.466990432
0.300000012,-7.445636858
0.314999998,-7.418004039
0.330000013,-7.383653727
0.344999999,-7.342215112
0.360000014,-7.293391238
0.375,-7.236970005
0.389999986,-7.17282712
0.405000001,-7.100929289
0.419999987,-7.021330381
0.435000002,-6.934170085
0.449999988,-6.839669174
0.465000004,-6.738118155
0.479999989,-6.629869435
0.495000005,-6.515327343
0.50999999,-6.394934714
0.524999976,-6.269162788
0.540000021,-6.138501331
0.555000007,-6.003447289
0.569999993,-5.864493145
0.584999979,-5.722125343
0.600000024,-5.576814565
0.61500001,-5.429008215
0.629999995,-5.279131208
0.644999981,-5.12758287
0.660000026,-4.974733016
0.675000012,-4.820924362
0.689999998,-4.666474104
0.704999983,-4.511673939
0.720000029,-4.356787804
0.735000014,-4.202066643
0.75,-4.04773761
0.764999986,-3.894013558
0.779999971,-3.741097553
0.795000017,-3.589185431
0.810000002,-3.438460802
0.824999988,-3.289116084
0.839999974,-3.141336771
0.855000019,-2.995315288
0.870000005,-2.8512519
0.88499999,-2.70935571
0.899999976,-2.569849104
0.915000021,-2.432964906
0.930000007,-2.298957488
0.944999993,-2.168092447
0.959999979,-2.040654485
0.975000024,-1.916949584
0.99000001,-1.797296527
1.004999995,-1.682033392
1.019999981,-1.571508607
1.034999967,-1.466090227
1.049999952,-1.366147472
1.065000057,-1.272058629
1.080000043,-1.184201794
1.095000029,-1.102946051
1.110000014,-1.028655056
1.125,-0.961672393
1.139999986,-0.902317181
1.154999971,-0.850879402
1.169999957,-0.807611177
