iter	RMSE
0	113.2776578
1	111.2485742
2	109.3554658
3	107.4393681
4	105.4737605
5	103.7125048
6	101.8563357
7	100.2672673
8	98.47199512
9	97.28049461
10	95.62959169
11	94.02103812
12	92.34850049
13	90.70727022
14	89.12388122
15	87.66962036
16	86.11077981
17	84.58600092
18	83.08333112
19	81.81165718
20	80.44350238
21	79.06653285
22	77.86674944
23	76.58490388
24	75.30470998
25	74.03056233
26	73.0071574
27	71.81043334
28	70.8526486
29	69.88580082
30	68.71716809
31	67.60341838
32	66.58696386
33	65.45565772
34	64.43409014
35	63.42228449
36	62.40400108
37	61.41506589
38	60.40323605
39	59.4841522
40	58.53912628
41	57.59162351
42	56.7087946
43	55.85669256
44	54.98827261
45	54.13742064
46	53.32812614
47	52.50631413
48	51.74769451
49	50.95514013
50	50.2615968
51	49.64093724
52	49.01726186
53	48.29723829
54	47.62918331
55	46.94958916
56	46.31720756
57	45.6718419
58	45.06137487
59	44.45042525
60	43.92476223
61	43.2474725
62	42.73937308
63	42.21791358
64	41.64831518
65	41.17386498
66	40.62191218
67	40.11685784
68	39.57221586
69	39.07644227
70	38.61085864
71	38.17385616
72	37.8215094
73	37.38309603
74	36.96043188
75	36.51552977
76	36.11510719
77	35.63409618
78	35.25633558
79	34.86149627
80	34.46327556
81	34.06911194
82	33.67915517
83	33.32374741
84	32.89233035
85	32.52094266
86	32.24050804
87	31.95397262
88	31.57210266
89	31.25017379
90	30.91350436
91	30.63833137
92	30.31123539
93	29.98889104
94	29.71504529
95	29.44265113
96	29.16604213
97	28.89862814
98	28.68041172
99	28.36903354
100	28.10228196
101	27.83536451
102	27.53146927
103	27.27389489
104	27.05245405
105	26.77239802
106	26.60096198
107	26.36939565
108	26.19052797
109	25.96325422
110	25.68338063
111	25.46226291
112	25.39732816
113	25.18174251
114	24.98014851
115	24.77212218
116	24.57776226
117	24.38563764
118	24.20311772
119	23.95431967
120	23.82536252
121	23.79336856
122	23.67433519
123	23.47345858
124	23.44285514
125	23.32175059
126	23.28089338
127	23.10904729
128	23.07800597
129	23.047867
130	23.01785403
131	22.97848142
132	22.77578853
133	22.55705336
134	22.51008941
135	22.47964582
136	22.44933472
137	22.4198683
138	22.3814517
139	22.35089754
140	22.24853378
141	22.20941335
142	22.00274889
143	21.97315953
144	21.80011013
145	21.76817858
146	21.73888561
147	21.7097182
148	21.68067567
149	21.6541596
150	21.47092692
151	21.44277934
152	21.34106477
153	21.22915491
154	21.04720937
155	21.01117564
156	20.98270438
157	20.94595488
158	20.91996561
159	20.89141198
160	20.86408901
161	20.83687941
162	20.80110918
163	20.77342101
164	20.73864477
165	20.54547226
166	20.36399769
167	20.32965394
168	20.20714401
169	20.18059272
170	20.15298895
171	19.94571675
172	19.74432574
173	19.63313297
174	19.60609909
175	19.57989342
176	19.41884565
177	19.39017257
178	19.23507883
179	19.20653747
180	19.17811829
181	19.01471
182	18.98818206
183	18.83562678
184	18.80916138
185	18.78112617
186	18.75321027
187	18.7254129
188	18.69936361
189	18.56520087
190	18.53764919
191	18.42024029
192	18.39424778
193	18.3669357
194	18.18619717
195	18.03962184
196	17.89608156
197	17.86464722
198	17.83914467
199	17.81233895
200	17.64865637
201	17.62338411
202	17.5902535
203	17.5572836
204	17.43072266
205	17.4044787
206	17.37195359
207	17.34720713
208	17.2181429
209	17.19347572
210	17.16765683
211	17.1419451
212	17.1100589
213	17.08456184
214	17.05917062
215	16.93760827
216	16.81848921
217	16.79334646
218	16.67202979
219	16.64705856
220	16.62219085
221	16.4947655
222	16.36346256
223	16.33981975
224	16.31524034
225	16.29178383
226	16.26739601
227	16.23735346
228	16.08725466
229	16.06311597
230	15.94316868
231	15.91918489
232	15.89529945
233	15.86593748
234	15.84224951
235	15.81312845
236	15.69001348
237	15.66657139
238	15.51677051
239	15.4934534
240	15.4702316
241	15.44710467
242	15.41873872
243	15.3958025
244	15.28325067
245	15.25526737
246	15.23257707
247	15.1150663
248	15.09251413
249	15.07005459
250	14.95171972
251	14.93005051
252	14.90282165
253	14.87572322
254	14.85367217
255	14.83171202
256	14.80984231
257	14.78806261
258	14.64301813
259	14.6213542
260	14.594907
261	14.56858763
262	14.54239533
263	14.39512393
264	14.37383185
