iter	RMSE
265	14.35262625
266	14.33150676
267	14.30575104
268	14.18778271
269	14.16227434
270	14.14145318
271	14.11615421
272	14.09097699
273	14.06592082
274	14.04544298
275	14.0250494
276	14.00028416
277	13.98005935
278	13.95991792
279	13.93985948
280	13.80960515
281	13.71846612
282	13.69858681
283	13.56543214
284	13.54563082
285	13.52591062
286	13.50205717
287	13.48249948
288	13.45884201
289	13.43944578
290	13.30737728
291	13.28805721
292	13.2688168
293	13.2496557
294	13.23057353
295	13.21156996
296	13.1885809
297	13.05694673
298	13.03411044
299	13.01138407
300	12.98876693
301	12.97017001
302	12.95164965
303	12.93320553
304	12.80651591
305	12.78814456
306	12.76984899
307	12.75162888
308	12.7334839
309	12.71541373
310	12.69741805
311	12.597655
312	12.57977493
313	12.56196859
314	12.54048211
315	12.52282318
316	12.50523724
317	12.38507531
318	12.36756197
319	12.3501212
320	12.33275267
321	12.31545608
322	12.19421846
323	12.1733875
324	12.15625007
325	12.13559131
326	12.11859555
327	11.99486204
328	11.97442274
329	11.95408215
330	11.93730499
331	11.92059694
332	11.90395772
333	11.88392412
334	11.86742265
335	11.84755498
336	11.83119036
337	11.73250609
338	11.71627088
339	11.70006702
340	11.68393032
341	11.66786049
342	11.55667829
343	11.54067746
344	11.52474311
345	11.50887493
346	11.49307268
347	11.47733607
348	11.36034909
349	11.34468317
350	11.329082
351	11.31030202
352	11.29482225
353	11.27940666
354	11.17267466
355	11.15732675
356	11.14203039
357	11.12680528
358	11.11163131
359	11.09652044
360	10.99778058
361	10.98275991
362	10.9678016
363	10.95289356
364	10.86843485
365	10.85363348
366	10.83888189
367	10.82419902
368	10.8065144
369	10.79194217
370	10.77743069
371	10.67921379
372	10.66477633
373	10.65039899
374	10.63607747
375	10.6188369
376	10.60462758
377	10.49700618
378	10.47994453
379	10.46585518
380	10.45017906
381	10.43620198
382	10.42228203
383	10.34241028
384	10.32858177
385	10.31480986
386	10.3010928
387	10.28459459
388	10.27098549
389	10.16669092
390	10.1531374
391	10.1396385
392	10.12619462
393	10.11280493
394	10.09946983
395	10.02242228
396	10.00917625
397	9.995984282
398	9.982845536
399	9.969760446
400	9.86833942
401	9.855308064
402	9.842325616
403	9.829397752
404	9.816522757
405	9.803699757
406	9.729287657
407	9.716551802
408	9.703867441
409	9.691235004
410	9.604134593
411	9.591570718
412	9.579058264
413	9.564011138
414	9.551597794
415	9.539236808
416	9.471658084
417	9.45938268
418	9.4471588
419	9.434983455
420	9.345613233
421	9.331017148
422	9.318953484
423	9.305456438
424	9.293489949
425	9.281570874
426	9.267244271
427	9.255420138
428	9.161841168
429	9.150067172
430	9.138342001
431	9.12666448
432	9.1150354
433	9.103453593
434	9.039336401
435	9.027837815
436	9.016386047
437	9.004981845
438	8.919001283
439	8.905334777
440	8.894033722
441	8.881361387
442	8.870151972
443	8.858988799
444	8.770323921
445	8.759206987
446	8.748135977
447	8.737110568
448	8.72613072
449	8.715196113
450	8.654262936
451	8.643408883
452	8.632596833
453	8.621830908
454	8.541464507
455	8.52857195
456	8.517906328
457	8.505921681
458	8.495340352
459	8.484802466
460	8.425941548
461	8.415480918
462	8.405063303
463	8.39468922
464	8.31121551
465	8.300885732
466	8.290599165
467	8.280354936
468	8.270153576
469	8.2586458
470	8.248521701
471	8.238441071
472	8.159152656
473	8.147789166
474	8.137798958
475	8.12652024
476	8.116607512
477	8.06079963
478	8.050959125
479	8.04116097
480	8.031402388
481	7.956628439
482	7.945624783
483	7.935956357
484	7.925035031
485	7.915441879
486	7.905889069
487	7.85198156
488	7.84250001
489	7.833058395
490	7.823656022
491	7.749018421
492	7.738393152
493	7.727814881
494	7.718531017
495	7.708032178
496	7.698820976
497	7.624665023
498	7.615496271
499	7.606364952
500	7.597273109
501	7.58821839
502	7.57920283
503	7.52803324
504	7.51908507
505	7.510175655
506	7.501302657
507	7.492468113
508	7.421127624
509	7.412333369
510	7.403577298
511	7.394857054
512	7.386174659
513	7.336675111
514	7.328058262
515	7.319478841
516	7.310934618
517	7.242332796
518	7.232616357
519	7.222943007
520	7.2145091
521	7.204908802
522	7.196541682
523	7.188211009
524	7.120592156
525	7.112300816
526	7.104044929
527	7.095823819
528	7.08763787
529	7.079486415
530	7.032563716
531	7.024476125
532	7.016422663
533	6.953794013
534	6.944612838
535	6.935472421
536	6.927526417
537	6.919615135
538	6.910572687
539	6.902724575
540	6.857445537
541	6.849659748
542	6.841906754
543	6.779764599
544	6.77092167
545	6.763243832
546	6.755598789
547	6.746852503
548	6.739267873
549	6.67661536
550	6.669068938
551	6.661554525
552	6.654072604
553	6.646622427
554	6.639204475
555	6.596194815
556	6.588835826
557	6.581508713
558	6.574097728
559	6.513630122
560	6.505269758
561	6.496946805
562	6.489746098
563	6.482577087
564	6.474344409
565	6.467233379
566	6.408271647
567	6.401084962
568	6.394039277
569	6.386912625
570	6.379925981
571	6.343363017
572	6.336320858
573	6.329310064
574	6.27218171
575	6.265208606
576	6.2582666
577	6.25135554
578	6.244574441
579	6.237721227
580	6.202269242
581	6.195471032
582	6.142976262
583	6.135299299
584	6.127657035
585	6.120959475
586	6.114291763
587	6.106737896
588	6.100212912
589	6.04602737
590	6.039537923
591	6.033076163
592	6.02655117
593	6.020144042
594	6.013674056
595	5.979950211
596	5.973532937
597	5.92342055
598	5.916167049
599	5.909820414
