#Parameters = {FSS=70; FSSX=1; FSSY=-1; MT=0.018; T=0.13; epsilon=9.21538194; g=-10; gl=15; gw=26; hg=18; hgl=-3; hgnd1up=0; hgw=0.5; hgx1=15; hgy1=10; hsll=1.5; hslw=14.5; n=2; phanup=50; phanx=0; phany=0; pl=26; plusex=0; plusey=0; plusl=6.5; plusw=2.5; plusx=4; plusy=4; pw=23; r=17.35655495771; sl=24; sll=-10; sll1=-16; slot1side=0; slot1up=-1; slot2side=0; slot2up=-8; slw=0.5; slw1=0.5; stripl=19; stripw=1.5; stubl=2; stubw=0.5; stubx=-2.5; stw=0.5; stw1=0; sty=1; sw=30; tand=0.514294894; x=17}
#"Frequency / GHz"	"S1,1 (31) [Magnitude]"
#-----------------------------------------
1.0000000000000	-2.9730542501279
1.0039999485016	-2.9826601974619
1.0080000162125	-2.9937034144389
1.0119999647141	-3.0065556752772
1.0160000324249	-3.0215920533078
1.0199999809265	-3.0391925866301
1.0240000486374	-3.0597403688029
1.0279999971390	-3.0836243303926
1.0319999456406	-3.1112444358298
1.0360000133514	-3.1430046889668
1.0399999618530	-3.1793274754440
1.0440000295639	-3.2206448498569
1.0479999780655	-3.2674078345205
1.0520000457764	-3.3200893817692
1.0559999942780	-3.3791854042950
1.0599999427795	-3.4452196090829
1.0640000104904	-3.5187495269501
1.0679999589920	-3.6003685341271
1.0720000267029	-3.6907136504594
1.0759999752045	-3.7904665657144
1.0800000429153	-3.9003678158667
1.0839999914169	-4.0212129777723
1.0880000591278	-4.1538696757099
1.0920000076294	-4.2992778717061
1.0959999561310	-4.4584644463560
1.1000000238419	-4.6325524870337
1.1039999723434	-4.8227664900062
1.1080000400543	-5.0304551591361
1.1119999885559	-5.2570931518667
1.1160000562668	-5.5043059091909
1.1200000047684	-5.7738807268294
1.1239999532700	-6.0677838466075
1.1280000209808	-6.3881824684484
1.1319999694824	-6.7374538606194
1.1360000371933	-7.1182052446483
1.1399999856949	-7.5332801027905
1.1440000534058	-7.9857329124324
1.1480000019073	-8.4787954963886
1.1519999504089	-9.0157653698165
1.1560000181198	-9.5997744577045
1.1599999666214	-10.233366616234
1.1640000343323	-10.917696688081
1.1679999828339	-11.651086366271
1.1720000505447	-12.426509685713
1.1759999990463	-13.227425865127
1.1799999475479	-14.021610419822
1.1840000152588	-14.754035908645
1.1879999637604	-15.343921086236
1.1920000314713	-15.696779149035
1.1959999799728	-15.739137157361
1.2000000476837	-15.458788052377
1.2039999961853	-14.912472185068
1.2079999446869	-14.192420834482
1.2120000123978	-13.386251064706
1.2159999608994	-12.557533027410
1.2200000286102	-11.745176330630
1.2239999771118	-10.970036172045
1.2280000448227	-10.241642556833
1.2319999933243	-9.5630265443495
1.2359999418259	-8.9337144400020
1.2400000095367	-8.3514629787887
1.2439999580383	-7.8132398840072
1.2480000257492	-7.3157412541189
1.2519999742508	-6.8556936934975
1.2560000419617	-6.4299629790663
1.2599999904633	-6.0356395333797
1.2640000581741	-5.6700498214514
1.2680000066757	-5.3307530352965
1.2719999551773	-5.0155395154564
1.2760000228882	-4.7224023826188
1.2799999713898	-4.4495287665002
1.2840000391006	-4.1952740190269
1.2879999876022	-3.9581528315360
1.2920000553131	-3.7368160065000
1.2960000038147	-3.5300415759236
1.2999999523163	-3.3367195467293
1.3040000200272	-3.1558401543271
1.3079999685287	-2.9864859742588
1.3120000362396	-2.8278203787862
1.3159999847412	-2.6790828486252
1.3200000524521	-2.5395762812463
1.3240000009537	-2.4086654294867
1.3279999494553	-2.2857706038818
1.3320000171661	-2.1703610248762
1.3359999656677	-2.0619480919981
1.3400000333786	-1.9600884637095
1.3439999818802	-1.8643729267325
1.3480000495911	-1.7744263339634
1.3519999980927	-1.6899042585392
1.3559999465942	-1.6104908912558
1.3600000143051	-1.5358943203558
1.3639999628067	-1.4658472616431
1.3680000305176	-1.4001038391033
1.3719999790192	-1.3384374324622
1.3760000467300	-1.2806389019190
1.3799999952316	-1.2265144473367
1.3839999437332	-1.1758866732472
1.3880000114441	-1.1285904723661
1.3919999599457	-1.0844751977199
1.3960000276566	-1.0433986162877
1.3999999761581	-1.0052319146608
1.4040000438690	-0.96985282192085
1.4079999923706	-0.93715082158347
1.4119999408722	-0.90702060362931
1.4160000085831	-0.87936616914851
1.4199999570847	-0.85409623882333
1.4240000247955	-0.83112677560256
1.4279999732971	-0.81037832388040
1.4320000410080	-0.79177683461020
1.4359999895096	-0.77525103535041
1.4400000572205	-0.76073612379896
1.4440000057220	-0.74816814963894
1.4479999542236	-0.73748640355833
1.4520000219345	-0.72863430638152
